CORRIENTES NRO 1200,25450915
RECONQUISTA NRO 420,5308317
GALVAN NRO 3802,3192307
ANTEQUERA NRO 1230,2550595
BALCARCE NRO 514,1840321
JUANA MANSO NRO 400,1392418
PRESIDENTE QUINTANA NRO 900,1312605
ADOLFO ALSINA NRO 220,1261199
ECHEVERRIA NRO 1004,1207254
IGUAZU NRO 620,1030721
SUIPACHA NRO 777,840310
MORENO NRO 1742,820406
AV DE MAYO NRO 800,796259
AV BELGRANO NRO 1000,747871
PERON NRO 4000,702185
MITRE NRO 450,684824
FRAY JUSTO STA MARIA DE ORO NRO 1900,656112
AV JUAN BAUTISTA ALBERDI NRO 4000,644468
VIRREY CEVALLOS NRO 200,581092
CORRIENTES NRO 800,544333
SANTO DOMINGO NRO 3000,530383
BOULOGNE SUR MER NRO 770,475068
AV DIAZ VELEZ NRO 3000,449981
BOULEVARD CECILIA GRIERSON NRO 800,411715
BALCARCE NRO 320,411473
